name,mz,rt,formula,SMILES,mobility_[M+H]+
"10,11-Dihydro-10-hydroxycarbamazepine",255.112804140091,308.24,C15H14N2O2,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,0.723;1.041
1-Phenylurea,137.070939328091,223.95,C7H8N2O,C1=CC=C(C=C1)NC(=O)N,0.588
"2,6-Dichlorobenzamide",189.982095592091,263.19,C7H5Cl2NO,C1=CC(=C(C(=C1)Cl)C(=O)N)Cl,0.627
2-Hydroxyquinoline,146.060040296091,301.04,C9H7NO,C1=CC=C2C(=C1)C=CC(=O)N2,0.466;0.573
4-Methyl-1H-benzotriazole,134.071273676091,291.75,C7H7N3,CC1=CC=CC2=NNN=C12,0.567
Acetaminophen,152.070604980091,176.35,C8H9NO2,CC(=O)NC1=CC=C(C=C1)O,0.603
ACETANILIDE,136.075690360091,258.08,C8H9NO,CC(=O)NC1=CC=CC=C1,0.575
Antipyrine,189.102239456091,310.79,C11H12N2O,CC1=CC(=O)N(N1C)C2=CC=CC=C2,0.646;0.737;0.947
Atenolol,267.170319016091,200.96,C14H22N2O3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,0.753;1.016
Atrazin,216.101049580091,336.34,C8H14ClN5,CCNC1=NC(=NC(=N1)Cl)NC(C)C,0.702;1.077
Benzotriazole,120.055623612091,250.19,C6H5N3,C1=CC2=NNN=C2C=C1,0.541
Bezafibrate,362.115362252091,359.09,C19H20ClNO4,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,0.855
Caffeine,195.087652012091,287.34,C8H10N4O2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.651
Carbamazepine,237.102239456091,351.19,C15H12N2O,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.713;1.029
Chloridazon,222.042866008091,293.14,C10H8ClN3O,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,0.676
Citalopram,325.171067964091,356.7,C20H21FN2O,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.867
